117-164G,117-164G,164G,164G,117G,117G,WT,WT
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
480,0.048774935,480,-0.008397434,480,0.008238861,480,0.041272856
481.0400085,-0.01658815,481.0400085,0.02496318,481.0400085,-0.04930399,481.0400085,0.065640487
481.9400024,-0.008213621,481.9400024,-0.058137119,481.9400024,0.02491115,481.9400024,0.033102442
482.980011,0.049737219,482.980011,0.125002086,482.980011,0.067174956,482.980011,0.04136676
484.019989,0.016702997,484.019989,-0.008343415,484.019989,0.09143123,484.019989,0.049278483
485.0700073,0.034188326,485.0700073,0.033983555,485.0700073,0.074587286,485.0700073,0.041556194
485.9700012,0.066857211,485.9700012,0.026243046,485.9700012,-0.016664723,485.9700012,0.041473467
487.0100098,0,487.0100098,-0.01710118,487.0100098,0.025188494,487.0100098,-0.008311377
488.0499878,-0.016887471,488.0499878,0.051568542,488.0499878,0.025370622,488.0499878,0.083881356
488.9500122,0.008308891,488.9500122,0.025467757,488.9500122,0.033615705,488.9500122,0.008362882
490,0.025297882,490,0.05987563,490,0,490,0.041821755
491.0599976,0.058270209,491.0599976,-0.017274886,491.0599976,0.026319021,491.0599976,0.016864261
491.9599915,-0.016866961,491.9599915,0.051712099,491.9599915,0.025802234,491.9599915,0.042292237
493.0299988,0.025434075,493.0299988,0.025592029,493.0299988,0.008602669,493.0299988,-0.042919926
493.9299927,0.042296533,493.9299927,0.034276508,493.9299927,-0.008539782,493.9299927,0.017276678
495,0.034362487,495,0.017295651,495,0.059621658,495,-0.0258788
496.0599976,0.00863707,496.0599976,0.017012734,496.0599976,0.051615566,496.0599976,0.026182808
496.9599915,0.026218047,496.9599915,0.034067199,496.9599915,-0.017707108,496.9599915,0
498.0299988,-0.044310529,498.0299988,0.008526239,498.0299988,0.026359029,498.0299988,0.043367013
498.9299927,0.051514525,498.9299927,0.141272873,498.9299927,0.06241975,498.9299927,0.042943519
500,0.088226207,500,0.017137375,500,-0.017322317,500,0.008494589
501.0400085,-0.017434968,501.0400085,0.043337695,501.0400085,0.096212715,501.0400085,0
501.9400024,0.026205909,501.9400024,0.061202183,501.9400024,-0.017471673,501.9400024,-0.017096793
502.980011,0,502.980011,0,502.980011,-0.0435954,502.980011,0.017482212
504.019989,0.035761222,504.019989,0.093072057,504.019989,0.008740419,504.019989,0.008570229
505.0700073,0.008852613,505.0700073,0.076939516,505.0700073,0.026625959,505.0700073,0.086255975
505.9700012,0.043667357,505.9700012,-0.017215703,505.9700012,0.008540439,505.9700012,0
507.0100098,0.008891418,507.0100098,0.025640806,507.0100098,0.017348763,507.0100098,0.112447992
508.0499878,0.02574599,508.0499878,0.042539071,508.0499878,0.043568049,508.0499878,0.102189407
508.9500122,0.078298993,508.9500122,0.06963364,508.9500122,-0.017371366,508.9500122,0.135517418
510,-0.00865269,510,0.103016675,510,0.04380969,510,0.11381644
511.0400085,0.043087848,511.0400085,0.052098259,511.0400085,0.017410228,511.0400085,0.068395361
511.9400024,0.008465393,511.9400024,0.060553633,511.9400024,0.096171498,511.9400024,0.153493255
512.9799805,0.043020371,512.9799805,0.052192975,512.9799805,0,512.9799805,0.103197403
514.0200195,0.025704077,514.0200195,0.10881985,514.0200195,0.034713183,514.0200195,0.068026632
515.0700073,0.136638865,515.0700073,0.044562485,515.0700073,0.008675209,515.0700073,0.127843455
515.9699707,0.017253723,515.9699707,0.117351815,515.9699707,0.061703365,515.9699707,0.077435337
517.0100098,0.02593944,517.0100098,0.061666403,517.0100098,0.102975123,517.0100098,0.051383939
518.0499878,0.050995693,518.0499878,0.117876872,518.0499878,0.112743482,518.0499878,0.137656912
518.9500122,0.110565841,518.9500122,0.129792586,518.9500122,0.008573168,518.9500122,0.008416941
520,0.068391845,520,0.161262944,520,0.069298267,520,0.067922674
521.039978,0.017225489,521.039978,0.12102665,521.039978,0.043403532,521.039978,0.101832129
521.9400024,0.118622959,521.9400024,0.137578785,521.9400024,0.0779403,521.9400024,0.093247995
522.9799805,0.06831301,522.9799805,0.096027099,522.9799805,0.060933679,522.9799805,0.169749022
524.0200195,0.042419974,524.0200195,0.121254116,524.0200195,0.060062122,524.0200195,0.13614355
525.0700073,0.068053253,525.0700073,0.059881777,525.0700073,0.051733952,525.0700073,0.161397189
525.9699707,0.077299662,525.9699707,0.131108567,525.9699707,0.060647544,525.9699707,0.109542869
527.0100098,0.087048106,527.0100098,0.148417175,527.0100098,0.102543943,527.0100098,0.163235843
528.0499878,0.118847519,528.0499878,0.044306207,528.0499878,0.113795519,528.0499878,0.145092055
528.9500122,0.110465311,528.9500122,0.163553417,528.9500122,0.180735335,528.9500122,0.191604257
530,0.129554927,530,0.123526506,530,0.137079015,530,0.127256692
531.039978,0.13857013,531.039978,0.168265194,531.039978,0.154231072,531.039978,0.155491442
531.9400024,0.110652424,531.9400024,0.168193683,531.9400024,0.18941839,531.9400024,0.120021254
532.9799805,0.069357745,532.9799805,0.070959106,532.9799805,0.223221958,532.9799805,0.15536125
534.0200195,0.120286286,534.0200195,0.255939543,534.0200195,0.103035241,534.0200195,0.13902767
535.0700073,0.061013345,535.0700073,0.198872477,535.0700073,0.155322388,535.0700073,0.187767789
535.9699707,0.130088642,535.9699707,0.215621337,535.9699707,0.120446682,535.9699707,0.139719695
537.0100098,0.229816571,537.0100098,0.286707223,537.0100098,0.172517896,537.0100098,0.197540194
538.0499878,0.162874833,538.0499878,0.204116359,538.0499878,0.180917516,538.0499878,0.206966147
538.9500122,0.189302683,538.9500122,0.162490383,538.9500122,0.109848328,538.9500122,0.206380606
540,0.114773057,540,0.187473372,540,0.200235277,540,0.253549695
541.0200195,0.157109186,541.0200195,0.257168591,541.0200195,0.163463354,541.0200195,0.153879032
542.0499878,0.121375009,542.0499878,0.224435896,542.0499878,0.169857144,542.0499878,0.167321265
542.9400024,0.084963933,542.9400024,0.229404107,542.9400024,0.17046085,542.9400024,0.095800452
543.9699707,0.213379771,543.9699707,0.137027368,543.9699707,0.144376129,543.9699707,0.179902345
545,0.137267187,545,0.241364747,545,0.128562242,545,0.163860917
546.0200195,0.184234768,546.0200195,0.222448483,546.0200195,0.135461196,546.0200195,0.196887478
547.0499878,0.151602969,547.0499878,0.16186744,547.0499878,0.110234886,547.0499878,0.186900005
547.9400024,0.122200303,547.9400024,0.213560224,547.9400024,0.194506094,547.9400024,0.237332374
548.9699707,0.227010801,548.9699707,0.206157237,548.9699707,0.165746346,548.9699707,0.214404553
550,0.191806376,550,0.237721264,550,0.164347068,550,0.25669986
551.039978,0.174100772,551.039978,0.247784883,551.039978,0.197902232,551.039978,0.154414982
551.9400024,0.165118322,551.9400024,0.231469572,551.9400024,0.11945495,551.9400024,0.271960825
552.9799805,0.177058518,552.9799805,0.218148261,552.9799805,0.195329085,552.9799805,0.217013896
554.0200195,0.120352462,554.0200195,0.242409542,554.0200195,0.208586812,554.0200195,0.213885441
555.0700073,0.155325055,555.0700073,0.249029636,555.0700073,0.18125324,555.0700073,0.254563063
555.9699707,0.127905592,555.9699707,0.248609081,555.9699707,0.165476397,555.9699707,0.207648382
557.0100098,0.094211958,557.0100098,0.168533161,557.0100098,0.153147176,557.0100098,0.28320834
558.0499878,0.119998626,558.0499878,0.170870066,558.0499878,0.21404843,558.0499878,0.196555987
