117-164G,117-164G,164G,164G,117G,117G,WT,WT
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
480,0.114475414,480,0.00828775,480,0.041371893,480,0.14214997
481.0400085,0.082514383,481.0400085,0.065739192,481.0400085,0.091540039,481.0400085,0.099241629
481.9400024,0,481.9400024,0.057718154,481.9400024,-0.016844375,481.9400024,0.106953628
482.980011,0.041480698,482.980011,0.067301549,482.980011,0.024735127,482.980011,0.114569098
484.019989,0.043231279,484.019989,0.093434133,484.019989,0.025401341,484.019989,0.157925353
485.0700073,-0.025280401,485.0700073,0.008508104,485.0700073,0.058664296,485.0700073,0.108457156
485.9700012,0.075404041,485.9700012,0.085151307,485.9700012,0.084248841,485.9700012,0.133544773
487.0100098,0.016851187,487.0100098,0.084722072,487.0100098,0.016705228,487.0100098,0.140876576
488.0499878,0.075550899,488.0499878,0.059016448,488.0499878,-0.033867598,488.0499878,0.123960793
488.9500122,0,488.9500122,0.101040721,488.9500122,0.076064907,488.9500122,0.101081573
490,0.10047558,490,0.051303979,490,0.051626671,490,0.151659399
491.0599976,0.025151115,491.0599976,0.077132717,491.0599976,-0.017167088,491.0599976,0.154869348
491.9599915,0.051957946,491.9599915,0.033745021,491.9599915,-0.03446107,491.9599915,0.187732533
493.0299988,0.079732805,493.0299988,0.051700071,493.0299988,0,493.0299988,0.15368852
493.9299927,0.017162079,493.9299927,0.043104935,493.9299927,0.061067104,493.9299927,0.137122482
495,0,495,0.068391845,495,0.026514882,495,0.171641409
496.0599976,0.026398458,496.0599976,0.00873126,496.0599976,-0.017335679,496.0599976,0.059071228
496.9599915,0.017386617,496.9599915,0.008575373,496.9599915,0.052812252,496.9599915,0.206302539
498.0299988,0.070617728,498.0299988,0.076643355,498.0299988,0.017633729,498.0299988,0.111039929
498.9299927,0,498.9299927,0.050645731,498.9299927,0.02671963,498.9299927,0.109596431
500,0.025446156,500,0.02736677,500,0.060766529,500,0.12050578
501.0400085,-0.077433348,501.0400085,0.034194466,501.0400085,0.086818367,501.0400085,0.133513719
501.9400024,-0.04299707,501.9400024,0.051333383,501.9400024,0.068577699,501.9400024,0.120972268
502.980011,0.059903298,502.980011,0.050865561,502.980011,0.076140843,502.980011,0.095112927
504.019989,0.069148526,504.019989,0.104797088,504.019989,0.078553908,504.019989,0.120396964
505.0700073,0.034453653,505.0700073,0.104279816,505.0700073,0.094583787,505.0700073,0.190247223
505.9700012,0.051638667,505.9700012,0.017192766,505.9700012,0.034554251,505.9700012,0.144411698
507.0100098,0.085154213,507.0100098,0.026635177,507.0100098,0.086550117,507.0100098,0.19687736
508.0499878,0.008525223,508.0499878,0.076530613,508.0499878,0.094131343,508.0499878,0.188282013
508.9500122,0.087128505,508.9500122,0.08594536,508.9500122,0.068979792,508.9500122,0.178098932
510,0.033910088,510,0.194645494,510,0.025711568,510,0.163694322
511.0400085,0.076928332,511.0400085,0.02663376,511.0400085,0.069323488,511.0400085,0.201589197
511.9400024,0.136225864,511.9400024,0.095520943,511.9400024,0.086302124,511.9400024,0.135608167
512.9799805,0.08500655,512.9799805,0.070736364,512.9799805,0.086179413,512.9799805,0.213275999
