Compound,Model ID,Energy,nRot,Library,isLeadLike,HBA,HBD,LogP,MW,TPSA
26651606_Intermediate,1,-0.0,6,iPPI-lib,Y,8,3,2.08,382.41308,112.38
17452383_Intermediate,1,-0.0,3,iPPI-lib,Y,4,1,3.96,331.39102,83.12
22411998_Intermediate,1,-0.0,7,iPPI-lib,Y,6,1,1.88,348.4167,84.09
22411598_Intermediate,1,-0.0,4,iPPI-lib,Y,8,1,3.29,418.3773032,106.39
103059844_Intermediate,1,-0.0,2,iPPI-lib,Y,4,1,2.6,251.28322,46.4
26617127_Intermediate,1,-0.0,5,iPPI-lib,Y,5,1,3.73,426.55168,116.2
11534736_Intermediate,1,-0.0,3,iPPI-lib,Y,4,1,2.63,290.3127432,81.91
24327827_Intermediate,1,-0.0,4,iPPI-lib,Y,4,0,5.3,417.91064,72.55
24804071_Intermediate,1,0.0,7,iPPI-lib,N,10,3,1.68,360.27508,164.41
26661716_Intermediate,1,-0.0,1,iPPI-lib,Y,3,1,3.07,210.2313,37.53
49819547_Accepted,1,-0.0,9,iPPI-lib,Y,8,3,3.16,484.54632,110.42
24288718_Intermediate,1,-0.0,7,iPPI-lib,Y,5,1,2.77,346.44388,74.86
17460430_Accepted,1,-0.0,4,iPPI-lib,Y,3,0,3.24,317.42742,20.57
24356822_Intermediate,1,-0.0,5,iPPI-lib,Y,6,0,3.96,431.93568,92.55
49681067_Accepted,1,-0.0,3,iPPI-lib,Y,7,0,1.39,407.4079096,78.54
24328527_Intermediate,1,-0.0,7,iPPI-lib,N,6,0,4.79,380.41704,110.31
92764569_Accepted,1,0.0,4,iPPI-lib,Y,6,1,1.59,316.37814,97.98
17506657_Intermediate,1,-0.0,5,iPPI-lib,Y,4,1,4.67,378.91612,57.79
24312258_Intermediate,1,-0.0,6,iPPI-lib,N,4,1,4.72,420.236821,57.37
103060289_Accepted,1,-0.0,7,iPPI-lib,Y,7,2,2.32,361.77964,97.39
99454415_Intermediate,1,-0.0,7,iPPI-lib,Y,3,1,5.4,384.51332,32.34
17438626_Intermediate,1,-0.0,3,iPPI-lib,Y,2,2,4.41,276.32914,40.46
14727027_Intermediate,1,-0.0,2,iPPI-lib,Y,3,1,4.19,255.33812,66.05
24292405_Intermediate,1,-0.0,6,iPPI-lib,Y,4,0,5.7,443.35676,70.67
24785630_Intermediate,1,-0.0,7,iPPI-lib,N,5,0,2.95,328.38554,97.51
57265530_Intermediate,1,-0.0,6,iPPI-lib,Y,7,0,2.5,416.49066,94.06
14738949_Intermediate,1,-0.0,7,iPPI-lib,Y,7,1,1.99,390.45338,101.16
24390232_Intermediate,1,-0.0,8,iPPI-lib,Y,4,0,4.93,383.86798,42.68
24389665_Intermediate,1,-0.0,2,iPPI-lib,Y,6,0,5.02,395.24478,60.9
17474558_Intermediate,1,-0.0,5,iPPI-lib,Y,3,1,4.6,360.8329632,74.09
103074475_Intermediate,1,0.0,8,iPPI-lib,Y,7,3,2.47,371.45664,120.89
17506356_Intermediate,1,-0.0,8,iPPI-lib,N,8,1,4.29,473.9293,120.68
24392427_Accepted,1,0.0,5,iPPI-lib,Y,8,1,0.9,348.3554232,124.03
24343902_Intermediate,1,-0.0,3,iPPI-lib,N,7,1,3.02,283.23896,104.18
